Have you developed a game?,What region are you based?,Where are you located?,What platforms do you build for?,What is the primary engine you use in developing games?,What category of games do you mostly create?,Which of these best describe you?,How long have you been operating?,How many employees do you have?,What percentage of your employees reside outside your main country of operation?,What is the ratio of male to female in your organisation?,"To date, how many games do you have published?",Which of these core competences do you have in your teams?,What was your 2022 revenue?,What are your sources of revenue?,What percentage of your revenue comes from outside your country of operation?,What's your gender?,What's your age group?,How long have you been making games?,Is game development a full time occupation for you?,"If you work at a game studio, where is the studio located?","To date, how many games do you have published?",Which of these core competences do you possess?,Do you earn any income from making games?,What is your main source of income?,What percentage of your income comes from outside your country of residence?,Have you ever raised external funding?,"If yes, from what source? Select all that apply.",How much external funding have you raised?,Have you applied for or participated in any accelerator or support programme?,Were you successful?,Please list the ones you applied to below even if you were not successful.,Did you or your studio attend any international gaming events?,"If yes, please name some of the gaming events you've attended",How important are the following to the development of the games industry in your country? [Power supply],How important are the following to the development of the games industry in your country? [High speed internet],How important are the following to the development of the games industry in your country? [Affordable internet],How important are the following to the development of the games industry in your country? [Training opportunities],How important are the following to the development of the games industry in your country? [Community events],How important are the following to the development of the games industry in your country? [Co-working space],How important are the following to the development of the games industry in your country? [Industry associations],How important are the following to the development of the games industry in your country? [Mobile network operators (like MTN or Safaricom)],How important are the following to the development of the games industry in your country? [Alternative payment methods (like mobile money)],How important are the following to the development of the games industry in your country? [Government support],How would you rate the current state of these infrastructure in your country? [Power supply],How would you rate the current state of these infrastructure in your country? [High speed internet],How would you rate the current state of these infrastructure in your country? [Affordable internet],How would you rate the current state of these infrastructure in your country? [Training opportunities],How would you rate the current state of these infrastructure in your country? [Community events],How would you rate the current state of these infrastructure in your country? [Co-working space],How would you rate the current state of these infrastructure in your country? [Industry associations],How would you rate the current state of these infrastructure in your country? [Mobile network operators (like MTN or Safaricom)],How would you rate the current state of these infrastructure in your country? [Alternative payment methods (like mobile money)],How would you rate the current state of these infrastructure in your country? [Government support],What is your outlook for the African games industry in the next 3 years?,What type of support does the industry need to succeed?,"Please leave us a comment, this can be something specific to your market that we have not captured.", , , , , , 
"Yes, I/we have developed game(s)",Central Africa,"Kinshasa, DRC","Mobile, PC",Godot,Serious/Educational Games,Freelancer on game projects,,,,,,,,,,Male,25 - 34,2 - 5 years,"Yes, I am a full time independent game developer",Kinshasa DRC,1 - 5,"Development/Programming, Narrative, Animation, Localization","Yes, I do",Salary from my job as a game developer,25 - 50%,No,Grant funding from international agency,,Yes,,,"Yes, I have",,Critical,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Good,Good,Good,Poor,Poor,Poor,Really Poor,Poor,Poor,Good,4,Infrastructure and funding,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria","Mobile, PC",Unreal,"Entertainment Games, Serious/Educational Games, Adver Games, Corporate/Training Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,5 - 10 years,"Yes, I am a full time independent game developer",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX","Yes, I do","Salary from my job as a game developer, Work for hire as a freelancer",25 - 50%,No,,,No,No,,"No, I haven't",,Critical,Critical,Critical,Very Important,Very Important,Critical,Very Important,Critical,Very Important,Very Important,Poor,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Poor,Really Poor,2,Funding,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games, Adver Games",Game studio,2 - 5 years,1 - 5,5 - 25%,"Male 75%, Female 25%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation, Vfx, QA, AR/VR",$1k - $5k,"Revenue from games, Work for hire",25 - 50%,,,,,,,,,,,No,,Less than $10K,Yes,No,Indie Games Accelerator - Google,"No, I haven't",,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Good,Good,Poor,Really Poor,Poor,Really Poor,Poor,Good,Good,Really Poor,3,"The African game industry has immense potential and is poised to make a significant impact on the global gaming scene. To ensure its success, several key areas require support and attention. Here are some compelling thoughts on the types of support needed:

1. Infrastructure Development: A robust and reliable technological infrastructure is crucial for the growth of the African game industry. This includes improving internet connectivity, access to affordable and high-quality hardware, and the development of specialized gaming hubs or incubators. By investing in infrastructure, African game developers can create and distribute their games more efficiently, ultimately attracting more players and fostering industry growth.

2. Community Building: Building a vibrant and inclusive gaming community is essential for fostering collaboration, knowledge sharing, and innovation. African game developers need platforms and spaces where they can connect, network, and learn from each other. Initiatives such as local gaming events, conferences, and workshops can bring together developers, artists, designers, and enthusiasts, allowing them to share experiences, showcase their work, and establish supportive relationships.

3. Funding Opportunities: Access to funding is a crucial factor in nurturing the African game industry. Governments, private investors, and international organizations should provide financial support specifically tailored to game development. This could include grants, venture capital funds, and startup incubation programs. Moreover, establishing partnerships with established international game companies can bring in resources, expertise, and exposure to the African game industry.

4. Access to Markets: The ability to reach global markets is vital for the success of African game developers. Encouraging international collaborations and partnerships can help African studios access larger distribution networks and target a broader player base. Government support can facilitate participation in international gaming conferences and expos, showcasing African games to potential publishers, investors, and players worldwide. Additionally, creating local distribution platforms and marketplaces can facilitate the discovery and promotion of African-made games within the continent.

5. Skills Development and Education: Strengthening educational programs and initiatives focused on game development is crucial. This involves providing training, workshops, and mentorship opportunities for aspiring developers, artists, and designers. Collaboration between universities, game development studios, and industry professionals can create curriculum enhancements, internships, and apprenticeships, ensuring that the next generation of African game developers have the necessary skills and knowledge to succeed.

By addressing these aspects of support, the African game industry can thrive, fostering creativity, economic growth, and cultural representation. It will not only create job opportunities and generate revenue but also enable African game developers to tell unique stories, express their cultural identities, and contribute to the diverse landscape of the global gaming industry.","* How to expand into Esports
* Development of a gaming culture in the region
* Localization ",,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nyeri, Kenya","Mobile, PC, Console",Unity,"Entertainment Games, Kids Games, Corporate/Training Games",Employee at a games studio,,,,,,,,,,Male,18 - 24,1 - 2 years,"Yes, I work as a full time game developer at a game studio","Lagos, Nigeria",1 - 5,"Development/Programming, Game Design, Narrative, Audio, Animation, Vfx, Localization, AR/VR","Yes, I do","Salary from my job as a game developer, Building third party games, Work for hire as a freelancer",75 - 100%,No,,,Yes,Yes,,"Yes, I have",,Critical,Very Important,Very Important,Critical,Important,Important,Important,Very Important,Very Important,Unimportant,Good,Good,Poor,Poor,Good,Poor,Poor,Very Good,Good,Really Poor,4,"Financial support/ Funding especially by government, and reduced taxes",,,,,,,
"No, I/we have not yet developed a game",West Africa,"Accra, Ghana","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games, Kids Games",Indie/solo developer,,,,,,,,,,Male,25 - 34,2 - 5 years,"No, I develop games in my spare time",,None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Animation, Vfx","No, I don't",Work for hire as a freelancer,75 - 100%,No,,,Yes,No,African GameDev by Net-Info,"No, I haven't",,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Good,Good,Good,Really Poor,Poor,Good,Poor,Poor,Very Good,Really Poor,3,"Incubation programs, training opportunities, local consumption of game made for Africans ",,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya","Mobile, PC, Console",Unity,"Entertainment Games, Serious/Educational Games, Kids Games, Hypercasual Games",Employee at a games studio,,,,,,,,,,Male,25 - 34,2 - 5 years,"Yes, I work as a full time game developer at a game studio","Nairobi, Kenya",1 - 5,"Development/Programming, Game Design, UI/UX, Narrative, Vfx, QA","Yes, I do","Salary from my job as a game developer, Indie Projects as a solo developer outside work","Zero, I earn all my income from my country of residence",No,,,Yes,Yes,"CrazyHubs by Crazy Labs hosted in Cape Town, South Africa ","Yes, I have",HGC ,Very Important,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Important,Good,Good,Good,Poor,Poor,Good,Poor,Poor,Good,Really Poor,3,More Publishers in the space to support the Indie Developers not just financially but also through showing us how we can market our games better globally and not just locally. ,,,,,,,
"Yes, I/we have developed game(s)",Central Africa,"Ngaoundéré, Cameroon",Mobile,Godot,"Entertainment Games, Serious/Educational Games, Corporate/Training Games",Game studio,2 - 5 years,1 - 5,5 - 25%,"Male 40%, Female 60%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, Localization",Less than $1k,"Building third party games, Work for hire",25 - 50%,,,,,,,,,,,Not applicable,,,Yes,No,Africa Game Co-Production Marketplace by SpielFabrique,"No, I haven't",,Critical,Very Important,Very Important,Critical,Critical,Important,Critical,Very Important,Critical,Critical,Poor,Poor,Good,Really Poor,Really Poor,Really Poor,Poor,Poor,Poor,Really Poor,3,"community, funding, access to market needs","Apart the internet penetration rate and rate of smartphones uses, we are lacking data about the market",,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Mobile,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Female,18 - 24,Less than a year,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, Narrative, QA","No, I don't","Salary from my job, not as a game developer","Zero, I earn all my income from my country of residence",Not applicable,,,Yes,,,"No, I haven't",,Critical,Critical,Very Important,Critical,Critical,Critical,Critical,Critical,Critical,Critical,Poor,Good,Good,Poor,Really Poor,Really Poor,Poor,Good,Very Good,Really Poor,4,"Communities centred around education and growth, as well as unions defending workers in all parts of the game industry. This way there will be fare wages and prevent exploitation, while also ensuring the barrier of entry into the game industry is lowered. Hopefully this will reduce the gatekeeping surrounding resources and opportunities.",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Dakar, Senegal","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,"No, I develop games in my spare time",Dakar,1 - 5,"Development/Programming, Game Design","No, I don't",Work for hire as a freelancer,75 - 100%,No,,,No,,,"No, I haven't",,Critical,Critical,Very Important,Very Important,Very Important,Very Important,Important,Critical,Critical,Very Important,Very Good,Very Good,Good,Good,Good,Good,Poor,Very Good,Very Good,Good,4,Funding,,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","PC, Console",Unreal,Entertainment Games,Game studio,5 - 10 years,20 - 50,5 - 25%,"Male 80%, Female 20%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation, Vfx, QA",$5k - $10K,Revenue from games,75 - 100%,,,,,,,,,,,Only if you include publisher funding for development of games,Publishers,Over $1m,Yes,No,Digital Lab Africa,"Yes, I have","GDC, A MAZE. / Berlin, Gamescom, Indiecade, BIG, Bit Summit, Print Screen, Africa Games Week, Playtopia, A MAZE Johannesburg, PAX East, XPO Tulsa, E3, Train Jam, BitBash, Stugan, Games for Change, Ludicious, GIC",Critical,Critical,Critical,Critical,Critical,Important,Unimportant,Important,Critical,Unimportant,Really Poor,Very Good,Very Good,Good,Poor,Good,Poor,Very Good,Poor,Really Poor,3,"Prototype funding, amazing training programmes, great retention to keep people working at African games studios, large mobile platforms to allow for third party payment methods (because they refuse to do it themselves), Western funding with good terms (goes further in Africa), funding and support that allows Africans to make games and learn and grow and keep money flowing into the continent","We have parallel industries/focuses that will benefit each other. Those that make games for the west with western funding, and those who make games for Africa with western funding. Both of these parallel focuses will benefit each other. We all dream of making games by Africans for Africans and we need both these focuses to succeed to get there. Both are incredibly hard to do in Africa for similar and dissimilar reasons, but we’re making great progress.",,,,,,
"Yes, I/we have developed game(s)",North Africa,"Cairo, Egypt","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Male,25 - 34,Less than a year,"Yes, I am a full time independent game developer",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX","Yes, I do",Revenue from my published games,75 - 100%,No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Important,Very Important,Very Important,Very Important,Unimportant,Very Important,Very Important,Good,Poor,Poor,Really Poor,Poor,Good,Really Poor,Poor,Really Poor,Really Poor,3,No comment ,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Khartoum, Sudan",Mobile,Flutter,Serious/Educational Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time","Khartoum, Sudan ",1 - 5,Development/Programming,"Yes, I do",Revenue from my published games,5 - 25%,No,,$10k - $50k,No,,,"No, I haven't",,Important,Unimportant,Important,Important,Unimportant,Unimportant,Unimportant,Important,Important,Unimportant,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Really Poor,Really Poor,2,"To games what all matters is the ability to make a lot of gamers that can pay in games this is the important thing, we need expert teams to make a very powerful engaging games ",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Cotonou, Benin","Mobile, Web",Vanilla js + various libraries,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,5 - 10 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design","No, I don't",Salary from my main job,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Very Important,Critical,Critical,Very Important,Important,Important,Very Important,Critical,Important,Good,Good,Really Poor,Good,Poor,Poor,Poor,Really Poor,Good,Poor,3,"A more diverse local pool of talents, and better access to funding ",,,,,,,
"Yes, I/we have developed game(s)",Central Africa,République démocratique du Congo,"Mobile, PC",Unity,"Serious/Educational Games, Adver Games, Kids Games",Freelancer on game projects,,,,,,,,,,Male,18 - 24,1 - 2 years,"No, I develop games in my spare time",,None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, AR/VR","Yes, I do",Work for hire as a freelancer,"Zero, I earn all my income from my country of residence",Not applicable,Investors,,No,Yes,,"No, I haven't",,Very Important,Critical,Critical,Unimportant,Important,Very Important,Unimportant,Important,Very Important,Unimportant,Poor,Poor,Poor,Really Poor,Really Poor,Poor,Poor,Poor,Poor,Really Poor,4,"for the moment the country is in a poor state, we must rely more on finance because with that we can do our best to make the population interested","the population, especially the youth, is very interested in sensational games with virtual reality headsets but at a low price",,,,,,
"Yes, I/we are developing a game",West Africa,"Kumasi, Ghana",Mobile,Unity,"Sandbox, Role playing Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,"Yes, I am a full time independent game developer",,None,"Development/Programming, Game Design, Animation","No, I don't",Work for hire as a freelancer,5 - 25%,No,,,Yes,No,Bright Gambit,"No, I haven't",,Important,Very Important,Critical,Critical,Critical,Critical,Critical,Important,Very Important,Critical,Good,Good,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Good,Good,Really Poor,2,"In all, the industry lacks passionate investors to support the studios out there. Also, limited training opportunities for the upcoming generation. ",,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","Mobile, PC",Unity,Entertainment Games,Game studio,1 - 2 years,5 - 10,75 - 100%,"Male 88%, Female 22%",None,"Development/Programming, Art (2D/3D, Game Design, Animation, Vfx",$10k - $50k,"Building third party games, Work for hire","Zero, all our revenue comes from our country of operation",,,,,,,,,,,Yes,Investors,$10k - $50k,Yes,Yes,Tshimologong Gaming Incubator ,"Yes, I have",Africa Games Week,Critical,Important,Important,Important,Very Important,Important,Critical,Important,Unimportant,Very Important,Good,Very Good,Poor,Good,Good,Good,Good,Very Good,Really Poor,Really Poor,4,"Funding and continued growth of association with international markets, companies, investors and higher up developers",Support and funding seems to be growing in SA but finding the right talent to grow with seems to be the struggle. Our company aims to raise this standard and we hope to see it grow as support for the industry grows so we can catch more investors that are interested in international markets,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","Mobile, PC",Vulkan,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,Over 10 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design","No, I don't",Software Development,"Zero, I earn all my income from my country of residence",No,,Less than $10K,No,No,,"No, I haven't",,Critical,Important,Important,Important,Critical,Important,Important,Very Important,Critical,Unimportant,Poor,Good,Really Poor,Really Poor,Poor,Poor,Poor,Really Poor,Really Poor,Really Poor,3,An easier way for small game dev houses to be able to grow enough to launch their games as products through big platforms like Steam/Epic Games.,It is primarily too difficult without having tons of free time and money to waste to start up a game dev company from scratch. If indie devs could release games in a way that can start earning money in an easier fashion it would lead to the funds needed to grow in the global games economy.,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","Mobile, PC,",Unity,Entertainment Games,Game studio,Less than a year,5 - 10,5 - 25%,"Male 50%, Female 50%",None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation, Vfx",Less than $1k,"Revenue from games, Work for hire, Licensing games to 3rd parties","Zero, all our revenue comes from our country of operation",,,,,,,,,,,Yes,Tshimologong incubator,$10k - $50k,No,Yes,,"Yes, I have",Africa games week,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Really Poor,Poor,Poor,Poor,Good,Poor,Poor,Good,Poor,Really Poor,3,"We need more funding, even for incubators. There's not enough infrastructure , and not enough income to adequately allow the game industry to bloom.  Right now the job market in games in Africa is fairly stagnant , and while studios are producing more , it's still hard for new unfunded studios to rise.  Getting more funding allows artists to take opportunities wholey with the security of stable and adequate income, allowing them/us to work better. 

We need more serious interactions with international developers. While big developers have appeared at events such as AGW , a majority of the time it feels like a publicity event more than a serious attempt to recruit and fund talent. It's sad that the industry in south africa especially, seems to survive off of studios constantly competing in game jams and anything to earn a payout.","The support in the industry  from fellow game designers has been amazing. Artists are constantly working together and creating bonds between studios.  
Transitioning from more informal game development into a serious business has been made much easier by the amazing people in this industry.  It really is a fun field to work in, especially with people so cool and creative.",,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Game studio,Less than a year,1 - 5,0%,"Male 75%, Female 25%",None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Animation, Vfx",Less than $1k,Revenue from games,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,No,,,Yes,Yes,,"Yes, I have",AGW Comic Con,Critical,Critical,Critical,Important,Very Important,Unimportant,Very Important,Important,Very Important,Critical,Really Poor,Good,Good,Good,Good,Good,Good,Good,Really Poor,Really Poor,4,Government funding ,,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Durban, South Africa",PC,Unreal,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,5 - 10 years,"No, I develop games in my spare time",,5 - 10,"Development/Programming, Art (2D/3D, Game Design, Animation, Vfx","No, I don't",Working for an unrelated company to fund this hobby,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Important,Very Important,Critical,Important,Unimportant,Important,Very Important,Very Important,Very Important,Really Poor,Good,Poor,Good,Very Good,Good,Good,Really Poor,Good,Poor,3,More local gamejams / meetups outside of major city hubs,,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Johannesburg, South Africa","Mobile, PC",Unity,"Kids Games, Corporate/Training Games",Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design","No, I don't",Self employed ,"Zero, I earn all my income from my country of residence",No,,Less than $10K,No,,2022 GameUp Africa Bootcamp,"No, I haven't",,Critical,Critical,Critical,Very Important,Important,Important,Important,Critical,Very Important,Important,Poor,Good,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Really Poor,Really Poor,4,Opportunities ,,,,,,,
"Yes, I/we are developing a game",East Africa,"Nairobi, Kenya",Board Game,No Engine since its a physical board game (Adobe),"Serious/Educational Games, Kids Games, Corporate/Training Games",Game studio,2 - 5 years,1 - 5,25 - 50%,"Male - 50 %, Female - 50%",None,"Art (2D/3D, Game Design, Narrative, Audio, Animation",Less than $1k,Grants,75 - 100%,,,,,,,,,,,Yes,Grant funding from international agency,$10k - $50k,Yes,Yes,"Climate Story Labs Africa, Chezo Gaming, Climate Crisis Fund","Yes, I have",Sweden Game Arena,Critical,Critical,Critical,Critical,Critical,Very Important,Critical,Critical,Critical,Critical,Very Good,Good,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Very Good,Very Good,Really Poor,3,"Funding for scholarships for those who need to go for training in school. Private schools are expensive. Scholarships would be for both Trainers and Students
Funding for product development and equipment: good and affordable computers for development
Mentorship sessions with industry practitioners.",There are several board games that have been developed within the country and have not been highlighted.,,,,,,
"Yes, I/we have developed game(s)",North Africa,"Khartoum, Sudan","Mobile, PC, Console",Unity,"Entertainment Games, Serious/Educational Games, Kids Games",Game studio,1 - 2 years,5 - 10,0%,"Male 75%, Female 25%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Audio, Animation, Vfx, QA, Localization, AR/VR",$10k - $50k,"Building third party games, Revenue from games",75 - 100%,,,,,,,,,,,No,,,No,,,"No, I haven't",,Critical,Critical,Important,Critical,Very Important,Unimportant,Important,Very Important,Important,Unimportant,Very Good,Good,Good,Really Poor,Really Poor,Really Poor,Really Poor,Good,Really Poor,Really Poor,4,"We need a training center to develop games, to produce local experiences.",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Ouagadougou, Burkina Faso","Mobile, PC",Godot,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,1 - 2 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation","No, I don't",Work for hire as a freelancer,25 - 50%,No,,,No,,,"No, I haven't",,Very Important,Important,Important,Very Important,Important,Important,Important,Important,Very Important,Very Important,Poor,Poor,Poor,Really Poor,Really Poor,Really Poor,Really Poor,Poor,Poor,Really Poor,3,"I thinks developpers need support and time, in my country i can see that many persons are interested in making video games and have good ideas.So with time game industry will grow fastly but to achieve this and increase skills developpers also need a community, funds, and formers.",,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Mobile,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,2 - 5 years,"Yes, I work as a full time game developer at a game studio",Nairobi Kenya,1 - 5,"Game Design, QA","No, I don't","Salary from my job as a game developer, Work for hire as a freelancer",75 - 100%,Yes,Investors,$10k - $50k,No,,,"No, I haven't",,Unimportant,Important,Unimportant,Very Important,Very Important,Important,Very Important,Unimportant,Unimportant,Critical,Very Good,Very Good,Very Good,Poor,Poor,Poor,Poor,Very Good,Very Good,Really Poor,2,"Funding, access to market, training etc.",,,,,,,
"Yes, I/we are developing a game",West Africa,"Lagos, Nigeria",Mobile,Unity,Entertainment Games,Game studio,2 - 5 years,5 - 10,0%,"20% female, 80% male",None,"Development/Programming, Art (2D/3D",$50k - $100k,Work for hire,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,No,,,Yes,No,Black Founders Fund,"Yes, I have","IGDA Events, PGW",Very Important,Very Important,Important,Critical,Important,Important,Important,Important,Important,Important,Poor,Good,Poor,Poor,Poor,Poor,Poor,Good,Good,Poor,3,"Capacity Development, funding, hardware support",,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria","Mobile, PC, Console",Unity,"Entertainment Games, Adver Games",Game studio,5 - 10 years,1 - 5,0%,"Male 100%, Female 0%",20 - 50,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation",$10k - $50k,"Building third party games, Revenue from games, Work for hire",75 - 100%,,,,,,,,,,,Yes,Grant,Less than $10K,Yes,,"Digital labs, black funds,","No, I haven't",,Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Important,Important,Very Important,Poor,Good,Poor,Good,Good,Good,Poor,Good,Poor,Really Poor,4,"Aside important factors like funding, need to organize in order to harness opportunities as a body having strong and dedicated evangelists or influencers will help ",,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya","Mobile, PC",Unity,"Entertainment Games, Kids Games",Hobby/Part time game developer,,,,,,,,,,Female,25 - 34,2 - 5 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Animation","No, I don't",Work for hire as a freelancer,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Critical,Critical,Very Important,Very Important,Important,Very Important,Important,Important,Critical,Good,Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Really Poor,4,"Community where people can access like minded people and access to funding for the development and growth of more game studios and freelance developers
",More opportunities for young game developers after training to develop their skills,,,,,,
"Yes, I/we are developing a game",Southern Africa,"Johannesburg, South Africa","PC, Console",Unity,Entertainment Games,Employee at a games studio,,,,,,,,,,Female,18 - 24,2 - 5 years,"No, I develop games in my spare time",Zambia,None,"Art (2D/3D, Game Design, Narrative, Animation","Yes, I do",Salary from my job as a game developer,75 - 100%,No,,,No,,,"Yes, I have",Paris Games Week,Very Important,Important,Important,Very Important,Very Important,Unimportant,Important,Unimportant,Unimportant,Important,Really Poor,Poor,Poor,Really Poor,Poor,Really Poor,Poor,Poor,Poor,Really Poor,2,"I think the industry needs accessibility to sufficient training and resources, as well as a more connected industry. ",,,,,,,
"Yes, I/we have developed game(s)",Central Africa,Cameroon,"Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games, Corporate/Training Games",Game studio,2 - 5 years,50 - 100,50 - 75%,"Male 75%, Female 25%",1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Localization, AR/VR",$1k - $5k,"Building third party games, Work for hire",5 - 25%,,,,,,,,,,,No,,,Yes,No,Africa Game Co-Production Marketplace by SpielFabrique,"Yes, I have","GDC, Gamescom",Important,Important,Very Important,Important,Very Important,Important,Important,Very Important,Important,Important,Poor,Poor,Poor,Poor,Really Poor,Poor,Good,Good,Good,Poor,3,All game enthusiast shall meet often around community events to create their own market and solve their own problems.,We are still lacking at funding and interest from the deciders. The coming community event will let us know if this trend will change.,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya","Mobile, PC",Unreal,Entertainment Games,Freelancer on game projects,,,,,,,,,,Male,18 - 24,1 - 2 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design, UI/UX","No, I don't",Software development ,"Zero, I earn all my income from my country of residence",Not applicable,,,No,,,"No, I haven't",,Critical,Critical,Critical,Critical,Critical,Unimportant,Important,Important,Important,Unimportant,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,Really Poor,2,Community events and jams like the software development space,,,,,,,
"Yes, I/we are developing a game",Southern Africa,"Midrand, South Africa","Mobile, PC",Unity,Entertainment Games,Game studio,2 - 5 years,20 - 50,5 - 25%,"Male 75%, Female 25%",None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, QA",Less than $1k,No revenue as of yet.,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,We are a wholly owned subsidiary.,Investors,Over $1m,No,,,"No, I haven't",,Critical,Critical,Very Important,Critical,Very Important,Important,Important,Critical,Unimportant,Critical,Really Poor,Good,Good,Poor,Good,Good,Poor,Good,Good,Really Poor,4,We need the cross-pollination of talent. Those individuals that have managed to work inside of AAA studios need to be equipped to share best practices and stories with the less experienced work force.,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Physical board game,Old school drawing and design,Serious/Educational Games,Freelancer on game projects,,,,,,,,,,Male,45+,Over 10 years,"Yes, I am a full time independent game developer",,1 - 5,None,"No, I don't",Other business,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Good,Poor,Poor,Really Poor,Really Poor,Poor,Really Poor,Good,Good,Really Poor,3,Funding,Please look into physical board games as much too,,,,,,
